Depth (m),Total Gas Out 1 (%),ChromatographOut_1 C1 (ppm),ChromatographOut_1 C2 (ppm),ChromatographOut_1 C3 (ppm),ChromatographOut_1 iC4 (ppm),ChromatographOut_1 nC4 (ppm),ChromatographOut_1 iC5 (ppm),ChromatographOut_1 nC5 (ppm),H2S Out1 (ppm),CO2 Out1 (%)
1583,0,1.60,0.00,0.39,0.16,3.90,0.80,1.69,0,0
1583.5,0,1.62,0.21,0.48,0.22,1.91,1.06,1.85,0,0
1584,0,1.05,0.15,0.30,0.68,1.94,1.74,0.90,0,0
1584.5,0,1.71,0.12,0.18,0.16,0.64,0.76,0.75,0,0
1585,0,0.13,0.00,0.08,0.03,0.96,0.44,1.46,0,0
1585.5,0,0.02,0.00,0.13,0.10,0.42,0.14,0.61,0,0
1586,0,0.12,0.00,0.01,0.00,0.01,0.00,0.03,0,0
1586.5,0.0009,2.00,0.36,0.48,0.70,2.54,1.18,0.99,0,0
1587,0.015,1.29,0.32,0.29,0.43,0.83,1.08,2.01,0,0
1587.5,0.0124,2.44,0.47,0.42,0.56,1.62,1.36,1.38,0,0
1588,0.0108,2.34,0.36,0.36,0.48,1.28,1.20,1.48,0,0
1588.5,0.0133,0.63,0.13,0.09,0.22,0.42,0.55,0.58,0,0
1589,0.0052,0.80,0.06,0.02,0.07,0.38,0.34,0.21,0,0
1589.5,0.0037,1.23,0.29,0.25,0.04,0.31,0.11,0.43,0,0
1590,0.0037,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1590.5,0.0002,1.53,0.14,0.05,0.00,0.24,0.00,0.00,0,0
1591,0.0001,1.64,0.28,0.03,0.12,0.14,0.00,0.00,0,0
1591.5,0.0004,1.97,0.20,0.25,0.14,0.04,0.00,0.00,0,0
1592,0.0006,2.29,0.09,0.03,0.02,0.21,0.00,0.00,0,0
1592.5,0.0009,2.84,0.12,0.26,0.22,0.29,1.16,0.95,0,0
1593,0.0002,3.63,0.05,0.03,0.01,0.01,0.05,0.11,0,0
1593.5,0.0002,3.88,0.10,0.15,0.14,0.15,0.03,0.05,0,0
1594,0.0012,3.56,1.92,0.47,0.33,3.46,1.58,1.20,0,0
1594.5,0.0076,8.26,0.45,0.78,0.55,2.69,1.50,1.60,0,0
1595,0.012,6.53,0.31,3.57,1.28,4.38,2.20,3.18,0,0
1595.5,0.0129,5.22,0.37,0.69,0.38,0.00,0.62,1.04,0,0
1596,0.0188,6.69,0.29,0.82,0.12,1.24,1.08,1.26,0,0
1596.5,0.0198,5.80,0.26,0.45,0.16,0.81,1.38,0.83,0,0
1597,0.013,5.39,0.15,0.06,0.25,1.79,1.39,0.48,0,0
1597.5,0.009,5.40,0.16,0.20,0.14,1.79,0.99,0.72,0,0
1598,0.01,6.26,0.24,0.25,0.09,1.21,0.91,0.74,0,0
1598.5,0.0089,6.56,0.22,0.23,0.00,0.21,0.43,0.61,0,0
1599,0.0106,6.89,0.16,0.26,0.17,1.03,0.75,0.99,0,0
1599.5,0.009,7.65,0.27,0.69,0.37,1.95,3.31,4.51,0,0
1600,0.0084,7.53,0.44,0.54,0.27,0.37,0.68,0.88,0,0
1600.5,0.0021,5.30,0.06,0.04,0.00,0.00,0.00,0.00,0,0
1601,0.0023,6.65,0.01,0.00,0.00,0.00,0.00,0.00,0,0
1601.5,0.0021,7.24,0.14,0.07,0.00,0.00,0.00,0.00,0,0
1602,0.0002,6.69,0.14,0.20,0.01,0.12,0.00,0.00,0,0
1602.5,0.0021,7.25,0.12,0.00,0.00,0.00,0.00,0.00,0,0
1603,0.0005,6.97,0.05,0.07,0.00,0.00,0.60,0.27,0,0
1603.5,0.001,7.56,0.30,0.53,0.30,0.62,0.39,0.31,0,0
1604,0.0014,8.04,0.51,0.62,0.69,0.17,1.06,1.01,0,0
1604.5,0.0075,9.72,0.81,1.62,1.09,5.30,3.19,3.06,0,0
1605,0.0138,9.60,0.48,1.71,0.82,4.14,2.56,2.29,0,0
1605.5,0.0173,7.92,0.56,1.03,0.62,2.73,1.65,1.29,0,0
1606,0.0222,8.06,0.36,0.67,0.88,2.98,1.26,1.88,0,0
1606.5,0.0243,7.70,0.59,0.29,0.34,1.39,6.83,0.58,0,0
1607,0.0243,7.19,0.31,0.30,0.06,0.59,0.57,0.94,0,0
1607.5,0.0256,7.65,0.28,0.44,0.30,0.01,0.12,0.45,0,0
1608,0.0028,5.47,0.06,0.01,0.00,0.00,0.03,0.10,0,0
1608.5,0,6.25,0.45,0.35,0.11,0.06,0.00,0.00,0,0
1609,0,5.84,0.27,0.08,0.30,0.17,0.00,0.00,0,0
1609.5,0,5.54,0.13,0.01,0.00,0.02,0.19,0.06,0,0
1610,0.0001,6.21,0.28,0.10,0.04,0.02,0.19,0.06,0,0
1610.5,0.0006,4.34,0.00,0.08,0.10,0.35,0.14,0.20,0,0
1611,0.002,7.03,0.30,1.45,0.48,3.16,1.19,1.73,0,0
1611.5,0.0118,6.88,0.32,0.69,0.45,4.66,2.05,1.84,0,0
1612,0.0148,4.69,0.31,0.38,1.25,0.88,2.34,1.37,0,0
1612.5,0.0201,4.74,0.42,0.63,1.03,3.74,2.80,0.82,0,0
